cf/2+|cc/2+ 
-18|-6
-18|-7
-18|6
-18|7
-17|-6
-17|-7
-17|6
-17|7
-14|-12
-14|12
-13|-5
-13|-11
-13|-13
-13|5
-13|11
-13|13
-12|-2
-12|-3
-12|-5
-12|-11
-12|-14
-12|2
-12|3
-12|5
-12|11
-12|14
-11|-1
-11|-12
-11|-13
-11|1
-11|12
-11|13
-10|-1
-10|-3
-10|1
-10|3
-9|-2
-9|2
-7|-17
-7|-18
-7|17
-7|18
-6|-17
-6|-18
-6|17
-6|18
-5|-12
-5|-13
-5|12
-5|13
-3|-10
-3|-12
-3|10
-3|12
-2|-9
-2|-12
-2|9
-2|12
-1|-10
-1|-11
-1|10
-1|11
1|-10
1|-11
1|10
1|11
2|-9
2|-12
2|9
2|12
3|-10
3|-12
3|10
3|12
5|-12
5|-13
5|12
5|13
6|-17
6|-18
6|17
6|18
7|-17
7|-18
7|17
7|18
9|-2
9|2
10|-1
10|-3
10|1
10|3
11|-1
11|-12
11|-13
11|1
11|12
11|13
12|-2
12|-3
12|-5
12|-11
12|-14
12|2
12|3
12|5
12|11
12|14
13|-5
13|-11
13|-13
13|5
13|11
13|13
14|-12
14|12
17|-6
17|-7
17|6
17|7
18|-6
18|-7
18|6
18|7
