cf/2+|cc/2+
-17|-5
-17|-6
-17|-7
-17|5
-17|6
-17|7
-16|-4
-16|-7
-16|5
-16|8
-15|0
-15|-7
-15|5
-14|0
-14|-1
-14|-7
-14|1
-14|5
-13|-1
-13|-7
-13|1
-13|2
-13|5
-12|0
-12|-7
-12|1
-12|2
-12|5
-11|0
-11|-3
-11|-6
-11|1
-11|2
-11|6
-10|0
-10|-4
-10|1
-10|2
-9|-3
-9|3
-9|4
-8|-1
-8|-2
-7|-2
-6|0
-6|-1
-5|0
-5|-2
-5|-11
-5|2
-5|11
-4|0
-4|-2
-4|-4
-4|-6
-4|-12
-4|2
-4|3
-4|6
-4|12
-3|0
-3|-4
-3|-5
-3|-6
-3|-12
-3|2
-3|4
-3|5
-3|6
-3|12
-2|-1
-2|-2
-2|-6
-2|-8
-2|-9
-2|-10
-2|-11
-2|-12
-2|2
-2|6
-2|8
-2|9
-2|10
-2|11
-2|12
-1|-2
-1|-4
-1|1
-1|2
-1|4
0|0
0|-2
0|-4
0|-5
0|2
0|4
0|5
1|-1
1|-2
1|-4
1|2
1|4
2|-2
2|-6
2|-8
2|-9
2|-10
2|-11
2|-12
2|1
2|2
2|6
2|8
2|9
2|10
2|11
2|12
3|0
3|-2
3|-4
3|-5
3|-6
3|-12
3|4
3|5
3|6
3|12
4|0
4|-2
4|-3
4|-6
4|-12
4|2
4|4
4|6
4|12
5|0
5|-2
5|-11
5|2
5|11
6|0
6|1
7|2
8|1
8|2
9|-3
9|-4
9|3
10|0
10|-1
10|-2
10|4
11|0
11|-1
11|-2
11|-6
11|3
11|6
12|0
12|-1
12|-2
12|-5
12|7
13|-1
13|-2
13|-5
13|1
13|7
14|0
14|-1
14|-5
14|1
14|7
15|0
15|-5
15|7
16|-5
16|-8
16|4
16|7
17|-5
17|-6
17|-7
17|5
17|6
17|7
